target,chunk,n_cells,in_panel,on_official_axis
A1BG,k562_00.npz,387,False,False
AAAS,k562_00.npz,411,False,True
AACS,k562_00.npz,176,False,True
AAGAB,k562_00.npz,99,False,True
AAK1,k562_00.npz,240,False,True
AAMDC,k562_00.npz,195,False,True
AAMP,k562_00.npz,157,False,True
AAR2,k562_00.npz,93,False,True
AARS,k562_00.npz,46,False,True
AARS2,k562_00.npz,358,False,True
AARSD1,k562_00.npz,367,False,True
AASDH,k562_00.npz,85,False,True
AASDHPPT,k562_00.npz,177,False,True
AATF,k562_00.npz,182,False,True
ABCA7,k562_00.npz,708,False,True
ABCA8,k562_00.npz,46,False,True
ABCB10,k562_00.npz,38,False,True
ABCB6,k562_00.npz,235,False,True
ABCB7,k562_00.npz,244,False,True
ABCB8,k562_00.npz,88,False,True
ABCB9,k562_00.npz,532,False,True
ABCC1,k562_00.npz,201,False,True
ABCC10,k562_00.npz,131,False,False
ABCC4,k562_00.npz,170,False,True
ABCC5,k562_00.npz,306,False,True
ABCD3,k562_00.npz,207,False,True
ABCD4,k562_00.npz,117,False,True
ABCE1,k562_00.npz,120,False,True
ABCF1,k562_00.npz,490,False,True
ABCF2,k562_00.npz,217,False,True
ABCF3,k562_00.npz,260,False,True
ABCG1,k562_00.npz,294,False,True
ABHD10,k562_00.npz,148,False,True
ABHD11,k562_00.npz,155,False,True
ABHD12,k562_00.npz,233,False,True
ABHD13,k562_00.npz,113,False,True
ABHD14A,k562_00.npz,210,False,True
ABHD14B,k562_00.npz,802,False,True
ABHD16A,k562_00.npz,223,False,True
ABHD17A,k562_00.npz,250,False,True
ABHD17B,k562_00.npz,58,False,True
ABHD2,k562_00.npz,229,False,True
ABHD3,k562_00.npz,50,False,True
ABHD5,k562_00.npz,143,False,True
ABHD6,k562_00.npz,295,False,True
ABHD8,k562_00.npz,192,False,True
ABI1,k562_00.npz,85,False,True
ABI2,k562_00.npz,179,False,True
ABITRAM,k562_00.npz,225,False,True
ABL1,k562_00.npz,226,False,True
ABL2,k562_00.npz,460,False,True
ABO,k562_00.npz,553,False,True
ABR,k562_00.npz,66,False,True
ABRACL,k562_00.npz,224,False,True
ABRAXAS1,k562_00.npz,230,False,True
ABRAXAS2,k562_00.npz,201,False,True
ABT1,k562_00.npz,202,False,True
AC015871.1,k562_00.npz,229,False,True
AC118549.1,k562_00.npz,158,False,True
ACAA1,k562_00.npz,249,False,True
ACAA2,k562_00.npz,204,False,True
ACACA,k562_00.npz,166,False,True
ACAD10,k562_00.npz,141,False,True
ACAD8,k562_00.npz,208,False,True
ACAD9,k562_00.npz,131,False,True
ACADM,k562_00.npz,127,False,True
ACADS,k562_00.npz,103,False,True
ACADSB,k562_00.npz,216,False,True
ACADVL,k562_00.npz,268,False,True
ACAP2,k562_00.npz,160,False,True
ACAP3,k562_00.npz,179,False,True
ACAT1,k562_00.npz,213,False,True
ACAT2,k562_00.npz,152,False,True
ACBD3,k562_00.npz,237,False,True
ACBD5,k562_00.npz,238,False,True
ACBD6,k562_00.npz,214,False,True
ACCS,k562_00.npz,110,False,True
ACD,k562_00.npz,153,False,True
ACER3,k562_00.npz,311,False,True
ACIN1,k562_00.npz,355,False,True
ACLY,k562_00.npz,90,True,True
ACO1,k562_00.npz,157,False,True
ACO2,k562_00.npz,155,False,True
ACOT12,k562_00.npz,422,False,True
ACOT13,k562_00.npz,147,False,True
ACOT7,k562_00.npz,348,False,True
ACOT8,k562_00.npz,119,False,True
ACOT9,k562_00.npz,247,False,True
ACOX1,k562_00.npz,178,False,True
ACP1,k562_00.npz,49,False,True
ACP2,k562_00.npz,57,False,True
ACP5,k562_00.npz,363,False,True
ACSF3,k562_00.npz,89,False,True
ACSL1,k562_00.npz,406,False,True
ACSL3,k562_00.npz,130,False,True
ACSL4,k562_00.npz,93,False,True
ACSM3,k562_00.npz,75,False,True
ACSS2,k562_00.npz,132,False,True
ACTB,k562_00.npz,363,False,True
ACTG1,k562_00.npz,19,False,True
ACTL6A,k562_00.npz,62,False,True
ACTN1,k562_00.npz,273,False,True
ACTN4,k562_00.npz,305,False,True
ACTR10,k562_00.npz,99,False,True
ACTR1A,k562_00.npz,451,False,True
ACTR1B,k562_00.npz,517,False,True
ACTR2,k562_00.npz,498,False,True
ACTR3,k562_00.npz,261,False,True
ACTR3B,k562_00.npz,117,False,True
ACTR3C,k562_00.npz,122,False,True
ACTR5,k562_00.npz,50,False,True
ACTR6,k562_00.npz,184,False,True
ACTR8,k562_00.npz,408,False,True
ACVR1B,k562_00.npz,212,False,True
