target_gene,k562_gwps,k562_essential,rpe1,missing_all_local_sources,A_mean_cpm,A_detection_rate,B_mean_cpm,B_detection_rate,C_mean_cpm,C_detection_rate
ABCD1,False,False,False,True,17.234306752663162,0.2709782608695652,121.9338000674229,0.8347282608695652,21.756246364742477,0.33043478260869563
ACLY,True,False,False,False,213.09397852439938,0.9396739130434782,461.42898330541345,0.9734239130434783,195.70521522517757,0.9070108695652174
ADNP,True,False,False,False,78.3461781292289,0.7403804347826087,135.4310679117736,0.8800543478260869,122.0259876656263,0.862554347826087
AGO1,True,False,False,False,90.3366876494435,0.7752717391304348,81.12925129506614,0.7441847826086957,43.84118384735378,0.5655434782608696
AKAP1,True,False,False,False,67.12143508106853,0.6769021739130435,56.82208400888112,0.6218478260869565,25.00064188465585,0.38304347826086954
AKIRIN1,True,False,False,False,23.64859535001959,0.3705434782608696,27.504002430215383,0.40831521739130433,105.74448435843956,0.8276630434782609
AKT2,True,False,False,False,145.75680413588705,0.8878804347826087,216.64950282827888,0.9346739130434782,149.26433589093818,0.8934239130434782
ALG12,True,False,False,False,53.963822265198594,0.6017934782608696,50.648047397574246,0.5897826086956521,76.72026461242862,0.7370108695652174
ANKRD52,True,False,False,False,84.0266980542256,0.7463586956521739,92.43462918925007,0.7790217391304348,43.6783551050859,0.5583152173913043
ANKZF1,True,False,False,False,64.7906508129,0.6234239130434782,24.15751735272431,0.35755434782608697,34.52280117970914,0.4696195652173913
ANP32B,True,False,False,False,155.76134834279037,0.8972826086956521,14.017960434262529,0.23646739130434782,31.07723887161649,0.44233695652173916
AP2A2,True,False,False,False,110.64320464415448,0.8144565217391304,64.03350989438256,0.6681521739130435,77.67917983283839,0.7410326086956521
API5,True,False,False,False,168.55460784469858,0.9145652173913044,49.18924790139235,0.5869021739130434,67.31519790499796,0.6984239130434783
ARL14EP,True,False,False,False,69.64444648997758,0.6871739130434783,10.808129104907866,0.18760869565217392,14.784409539176359,0.2551086956521739
ASCC2,True,False,False,False,102.37695778347299,0.8011956521739131,73.17278709749966,0.7122282608695653,68.3465758109479,0.707391304347826
BCKDK,True,False,False,False,134.48883688349343,0.8558152173913044,256.76297015468896,0.94625,180.6354101794151,0.9170108695652174
BCL6,True,False,False,False,9.276092119742824,0.15315217391304348,14.164323709093905,0.2197282608695652,28.597780951832792,0.39907608695652175
BCL7C,True,False,False,False,70.12438420985893,0.7026086956521739,23.30398189803457,0.35304347826086957,48.93070494486149,0.5915217391304348
BRD1,True,False,False,False,180.78612084588812,0.9194021739130435,158.56929851665686,0.8945108695652174,135.06632319325044,0.873804347826087
BRPF1,True,False,False,False,64.19136879875343,0.6690217391304348,40.69530046629438,0.5244021739130434,7.919944862455809,0.15168478260869564
C5orf22,True,False,False,False,104.45286438131015,0.8125,213.60199257901638,0.9359239130434782,85.2352568191266,0.7670652173913044
CAND1,True,False,False,False,370.29151055522135,0.9835869565217391,223.69585252331174,0.94,184.46585212735653,0.9291304347826087
CAPRIN2,False,False,False,True,36.06091962222689,0.4755978260869565,46.91553653019337,0.5566304347826087,31.745553495915164,0.44429347826086957
CARM1,True,False,False,False,228.16129759455586,0.9403804347826087,162.08353240496947,0.896358695652174,179.89732583709855,0.9270652173913043
CAT,True,False,False,False,188.42166312587327,0.92875,163.0976946078454,0.891358695652174,196.70142169840395,0.9304347826086956
CCDC112,True,False,False,False,30.411834119666107,0.4281521739130435,19.59297701021892,0.30625,12.523960361837485,0.21641304347826087
CDK8,True,False,False,False,75.28598776990299,0.7196739130434783,40.98021816847174,0.5242391304347827,107.94291915123917,0.8326630434782609
CHD3,True,False,False,False,312.0694997960901,0.9726086956521739,585.3396963905749,0.9815760869565218,255.2056397262296,0.9610869565217391
CHD6,True,False,False,False,46.719774030515595,0.5686413043478261,43.67526994839139,0.5485869565217392,96.6458250387081,0.8075543478260869
CHKB,True,False,False,False,36.50207060550763,0.49141304347826087,31.7154030779196,0.4330978260869565,31.430092768360034,0.45353260869565215
CLCN6,True,False,False,False,23.469815244318706,0.34059782608695655,12.205796067553566,0.19951086956521738,22.900686021758673,0.35125
COIL,True,False,False,False,41.92865862467577,0.5354891304347826,58.35337122364348,0.645054347826087,51.57562297320448,0.6157608695652174
COMMD8,True,False,False,False,39.28979995176237,0.5196739130434782,26.92419772534569,0.3957608695652174,21.55223158817524,0.34597826086956524
COQ10B,True,False,False,False,23.33122339392747,0.3657608695652174,14.94661782467821,0.25130434782608696,117.87412348029859,0.8443478260869566
