panel,gene,on_gene_axis,A_cpm,B_cpm,C_cpm,A_det,B_det,C_det
T_lymphoid,CD3D,True,939.2937372213464,0.0,0.0,0.9983152173913044,0.0,0.0
T_lymphoid,CD3E,True,760.3558628914235,0.0,0.022462600630622526,0.9978260869565218,0.0,0.0004891304347826087
T_lymphoid,CD3G,True,163.42420464841416,0.0,0.0,0.8990217391304348,0.0,0.0
T_lymphoid,CD2,True,256.3745880627661,0.0,0.01085646581414948,0.9328804347826087,0.0,0.00016304347826086958
T_lymphoid,CD7,True,250.0901735274139,1.1297417534372858,2.679854503270099,0.9320108695652174,0.017717391304347827,0.044293478260869566
T_lymphoid,LCK,True,430.45412053817864,0.013359635879017161,0.032487054329078086,0.99,0.0002173913043478261,0.0005434782608695652
T_lymphoid,ZAP70,True,670.6196212527617,0.055420179037665,0.015967527488735103,0.995,0.001141304347826087,0.0004347826086956522
T_lymphoid,TRAC,True,395.97658029450525,0.03482973109077621,2.8682368476768563,0.9060326086956522,0.0004891304347826087,0.05570652173913043
T_lymphoid,TRBC1,True,3459.805221382386,0.004401270390763086,0.0,0.9998369565217391,0.00010869565217391305,0.0
T_lymphoid,TRBC2,True,177.19080230479634,0.06872882207268516,0.0,0.8583152173913043,0.0011956521739130434,0.0
T_lymphoid,CD1A,True,139.84160000982303,0.0,0.0,0.8052717391304348,0.0,0.0
T_lymphoid,CD1B,True,132.6729927688349,0.02969826562128772,0.0,0.7744565217391305,5.4347826086956524e-05,0.0
T_lymphoid,RAG1,True,209.17760277311763,0.06043440589511532,1.8782629909526167,0.42429347826086955,0.00125,0.03695652173913044
T_lymphoid,RAG2,True,75.09218103798055,0.026607037359067196,0.0,0.5611956521739131,0.00016304347826086958,0.0
T_lymphoid,DNTT,True,638.1734018808371,0.0035937199025958162,0.0013424851440593957,0.9796739130434783,5.4347826086956524e-05,5.4347826086956524e-05
T_lymphoid,TAL1,True,148.71014667786196,0.0,0.012215362447727718,0.856195652173913,0.0,0.0002173913043478261
T_lymphoid,MYB,True,748.5902852720579,3.35318884081109,5.674363100068917,0.9957065217391304,0.059184782608695655,0.10092391304347827
T_lymphoid,GATA3,True,112.18943688556898,0.24807112251492605,3.54026853142107,0.7726086956521739,0.004293478260869565,0.06695652173913043
T_lymphoid,PTPRC,True,20.76884358312333,0.0,0.0012127150750185546,0.32114130434782606,0.0,5.4347826086956524e-05
erythroid_K562,HBG1,True,0.0,0.0,0.0,0.0,0.0,0.0
erythroid_K562,HBG2,True,0.009625012914912518,0.21119884929986896,0.004895759488961041,0.0002173913043478261,0.004402173913043478,5.4347826086956524e-05
erythroid_K562,HBZ,True,0.0,0.0,0.0,0.0,0.0,0.0
erythroid_K562,GATA1,True,0.015997542321620845,0.0698181640196199,0.0,0.00038043478260869565,0.00016304347826086958,0.0
erythroid_K562,GYPA,True,0.0012317066922073368,0.0,0.0,5.4347826086956524e-05,0.0,0.0
erythroid_K562,KLF1,True,0.2861778959810893,0.1232478102285973,0.007230936783504836,0.00608695652173913,0.0016304347826086956,0.00016304347826086958
erythroid_K562,ALAS2,True,0.0,0.002016991133306978,0.0,0.0,5.4347826086956524e-05,0.0
epithelial,EPCAM,True,0.0,2.2760691267086903,309.49426934377016,0.0,0.043097826086956524,0.9701630434782609
epithelial,KRT8,True,3.502270824177281,2505.656280939757,1427.2123534204984,0.06793478260869565,0.9977173913043478,0.9998369565217391
epithelial,KRT18,True,0.11382028219880558,835.3996599407614,666.8977854360613,0.001956521739130435,0.9777717391304348,0.9880434782608696
epithelial,KRT19,True,0.006185825658082314,140.15729112238176,3.8090390532321767,0.00010869565217391305,0.6660869565217391,0.07032608695652173
epithelial,CDH1,True,0.0037079774910934384,0.00444038534054637,126.88670675578686,5.4347826086956524e-05,0.00010869565217391305,0.852445652173913
epithelial,CLDN4,True,0.20156860056034598,6.204428887393309,185.87359844048126,0.003532608695652174,0.09907608695652174,0.8523913043478261
epithelial,TACSTD2,True,0.0038614687288993335,88.56646056022642,2762.81807609626,0.00010869565217391305,0.7108152173913044,0.9997826086956522
squamous_basal,TP63,True,0.0,1.915336710737092,853.7368805775512,0.0,0.03402173913043478,0.9950543478260869
squamous_basal,KRT5,True,0.0019369124376120504,0.028665115387253966,1812.165713217638,5.4347826086956524e-05,0.00010869565217391305,0.9997826086956522
squamous_basal,KRT13,True,0.0036381865501057264,0.08601709020750778,1601.1136692922596,0.00010869565217391305,0.0015217391304347826,0.99625
squamous_basal,KRT14,True,0.0,0.1230401170378878,302.8378011342827,0.0,0.0026630434782608696,0.7660869565217391
squamous_basal,KRT15,True,0.0,2.462633055015261,2145.9260209464774,0.0,0.036032608695652175,0.9990760869565217
squamous_basal,KRT6A,True,0.0023533309988289825,0.0,286.0986591071352,5.4347826086956524e-05,0.0,0.9146739130434782
squamous_basal,KRT4,True,0.0,0.0027233432175747157,79.16183245281773,0.0,0.00010869565217391305,0.3034782608695652
squamous_basal,SOX2,True,0.004629983777704072,0.0,142.49766560349445,0.00016304347826086958,0.0,0.8241304347826087
squamous_basal,DSP,True,0.050851044710723034,87.38725538857403,871.4979555453576,0.0008152173913043478,0.6430434782608696,0.9976630434782608
squamous_basal,PKP1,True,0.7589278374057031,3.108812810320241,116.37015426526403,0.014728260869565217,0.058260869565217394,0.8245108695652174
squamous_basal,SFN,True,0.4198991293658963,65.21981662615393,253.31534664463152,0.007989130434782608,0.6085869565217391,0.9433695652173913
squamous_basal,CSTA,True,4.330942290107272,0.026702974950100784,1083.6530761029762,0.058641304347826086,0.00038043478260869565,0.9996195652173913
mesenchymal,VIM,True,1612.4025136207174,6051.936007057243,1.9985878950883682,0.9994565217391305,0.9996195652173913,0.02673913043478261
mesenchymal,COL1A1,True,3.756494119149424,357.6383231571224,9.97006301714494,0.06798913043478261,0.866304347826087,0.17739130434782607
mesenchymal,FN1,True,0.020102767330797397,90.6159771063404,0.05906976176622433,0.00038043478260869565,0.6794021739130435,0.0014130434782608696
mesenchymal,THY1,True,77.96028614842741,2.3118782335290766,0.0019666302184532846,0.6976630434782609,0.04054347826086956,5.4347826086956524e-05
mesenchymal,S100A4,True,11.90427935568725,233.61095136309427,21.232335396412,0.17081521739130434,0.8808152173913043,0.3220108695652174
mesenchymal,ACTA2,True,2.001027835807504,3.3751661716590062,13.595199000947543,0.03739130434782609,0.06141304347826087,0.2363586956521739
