ENSG00000186092.6	OR4F5	Gene Expression
ENSG00000284733.1	OR4F29	Gene Expression
ENSG00000284662.1	OR4F16	Gene Expression
ENSG00000187634.12	SAMD11	Gene Expression
ENSG00000188976.11	NOC2L	Gene Expression
ENSG00000187961.14	KLHL17	Gene Expression
ENSG00000187583.11	PLEKHN1	Gene Expression
ENSG00000187642.9	PERM1	Gene Expression
ENSG00000188290.11	HES4	Gene Expression
ENSG00000187608.10	ISG15	Gene Expression
ENSG00000188157.15	AGRN	Gene Expression
ENSG00000237330.3	RNF223	Gene Expression
ENSG00000131591.17	C1orf159	Gene Expression
ENSG00000162571.14	TTLL10	Gene Expression
ENSG00000186891.14	TNFRSF18	Gene Expression
ENSG00000186827.11	TNFRSF4	Gene Expression
ENSG00000078808.18	SDF4	Gene Expression
ENSG00000176022.7	B3GALT6	Gene Expression
ENSG00000184163.3	C1QTNF12	Gene Expression
ENSG00000160087.21	UBE2J2	Gene Expression
ENSG00000162572.21	SCNN1D	Gene Expression
ENSG00000131584.19	ACAP3	Gene Expression
ENSG00000169972.12	PUSL1	Gene Expression
ENSG00000127054.21	INTS11	Gene Expression
ENSG00000224051.7	CPTP	Gene Expression
ENSG00000169962.5	TAS1R3	Gene Expression
ENSG00000107404.20	DVL1	Gene Expression
ENSG00000162576.16	MXRA8	Gene Expression
ENSG00000175756.13	AURKAIP1	Gene Expression
ENSG00000221978.12	CCNL2	Gene Expression
ENSG00000242485.6	MRPL20	Gene Expression
ENSG00000235098.8	ANKRD65	Gene Expression
ENSG00000205116.3	TMEM88B	Gene Expression
ENSG00000179403.12	VWA1	Gene Expression
ENSG00000215915.10	ATAD3C	Gene Expression
ENSG00000160072.20	ATAD3B	Gene Expression
ENSG00000197785.14	ATAD3A	Gene Expression
ENSG00000205090.9	TMEM240	Gene Expression
ENSG00000160075.12	SSU72	Gene Expression
ENSG00000228594.4	FNDC10	Gene Expression
ENSG00000197530.12	MIB2	Gene Expression
ENSG00000189409.14	MMP23B	Gene Expression
ENSG00000248333.8	CDK11B	Gene Expression
ENSG00000189339.12	SLC35E2B	Gene Expression
ENSG00000008128.23	CDK11A	Gene Expression
ENSG00000215790.7	SLC35E2A	Gene Expression
ENSG00000008130.15	NADK	Gene Expression
ENSG00000078369.18	GNB1	Gene Expression
ENSG00000169885.10	CALML6	Gene Expression
ENSG00000178821.13	TMEM52	Gene Expression
ENSG00000142609.18	CFAP74	Gene Expression
ENSG00000187730.9	GABRD	Gene Expression
ENSG00000067606.17	PRKCZ	Gene Expression
ENSG00000162585.17	FAAP20	Gene Expression
ENSG00000157933.10	SKI	Gene Expression
ENSG00000116151.14	MORN1	Gene Expression
ENSG00000157916.20	RER1	Gene Expression
ENSG00000157911.11	PEX10	Gene Expression
ENSG00000149527.18	PLCH2	Gene Expression
ENSG00000157881.16	PANK4	Gene Expression
ENSG00000197921.6	HES5	Gene Expression
ENSG00000157873.17	TNFRSF14	Gene Expression
ENSG00000157870.17	PRXL2B	Gene Expression
ENSG00000142606.16	MMEL1	Gene Expression
ENSG00000215912.12	TTC34	Gene Expression
ENSG00000169717.7	ACTRT2	Gene Expression
ENSG00000142611.17	PRDM16	Gene Expression
ENSG00000130762.15	ARHGEF16	Gene Expression
ENSG00000162591.16	MEGF6	Gene Expression
ENSG00000158109.15	TPRG1L	Gene Expression
ENSG00000116213.16	WRAP73	Gene Expression
ENSG00000078900.15	TP73	Gene Expression
ENSG00000162592.10	CCDC27	Gene Expression
ENSG00000235169.9	SMIM1	Gene Expression
ENSG00000130764.10	LRRC47	Gene Expression
ENSG00000116198.13	CEP104	Gene Expression
ENSG00000169598.16	DFFB	Gene Expression
ENSG00000198912.11	C1orf174	Gene Expression
ENSG00000196581.11	AJAP1	Gene Expression
ENSG00000131697.18	NPHP4	Gene Expression
ENSG00000069424.15	KCNAB2	Gene Expression
ENSG00000116254.18	CHD5	Gene Expression
ENSG00000285629.1	AL031847.2	Gene Expression
ENSG00000116251.11	RPL22	Gene Expression
ENSG00000158286.13	RNF207	Gene Expression
ENSG00000116237.16	ICMT	Gene Expression
ENSG00000173673.8	HES3	Gene Expression
ENSG00000158292.7	GPR153	Gene Expression
ENSG00000097021.19	ACOT7	Gene Expression
ENSG00000069812.11	HES2	Gene Expression
ENSG00000187017.17	ESPN	Gene Expression
ENSG00000215788.10	TNFRSF25	Gene Expression
ENSG00000171680.22	PLEKHG5	Gene Expression
ENSG00000162408.11	NOL9	Gene Expression
ENSG00000173662.21	TAS1R1	Gene Expression
ENSG00000204859.13	ZBTB48	Gene Expression
ENSG00000162413.16	KLHL21	Gene Expression
